Country Name,Africa Eastern and Southern,East Asia & Pacific,European Union,Latin America & Caribbean,Middle East & North Africa,North America,Sub-Saharan Africa,South Asia
2001,2869509,792465,307351,85126,1005807,225,3464539,4072751
2002,2877322,785080,322508,95013,1063473,435,3525137,2800274
2003,2633646,708146,275075,91058,915026,455,3312270,2406909
2004,2603262,711437,248917,95934,844370,508,3221624,2680194
2005,2538163,728168,168659,117605,776846,796,3096093,2436365
2006,2560238,806574,131728,163736,1943083,1447,3039578,2386427
2007,2309301,726470,119129,624869,2779044,2694,2747816,3369111
2008,2162171,742379,112652,446848,2372262,2226,2627786,3142062
2009,2181946,977427,90724,462724,2017327,2464,2665835,3192059
2010,2302759,988001,78625,470611,1908778,3105,2810109,3344514
2011,2771434,989679,74614,483996,1661560,3883,3371571,2928090
2012,2893170,990853,73458,491192,1696345,4575,3535047,2842237
2013,2977764,1031919,59415,496493,3074835,4849,3702389,2788672
2014,3559470,1045121,49352,462707,4475952,5069,4479222,3107710
2015,4195068,1018444,42148,448051,5377343,4897,5233445,3134444
2016,4917140,1066541,35328,420669,6098282,378,6007867,2765648
2017,6058091,1736488,34432,317028,6969777,385,7214009,2909951
2018,5958200,1729048,34374,291071,7351474,414,7241640,2973843
2019,5936536,1643135,34187,439724,7282553,369,7290866,3024299
2020,5960032,1633439,34447,538872,7361625,454,7418892,2916436
